,Actual System Dispatch,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,7/1/2020 0:00,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99
0,Time,0:15:00,0:30:00,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00,Energy/(MWh) *,,
1,Canyon,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,425,,
2,WPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,,
3,Olax,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29,29,37,37,37,37,37,37,26,26,24,14,14,36,30,30,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,39,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,51,52,52,52,52,51,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,666,,
4,Nlax,46,45,19,20,19,15,9,10,10,10,12,10,11,20,30,29,34,50,18,16,27,24,68,106,106,78,72,17,15,21,74,17,25,69,70,71,70,69,68,71,70,72,102,106,106,106,105,104,83,81,80,78,75,80,80,59,79,80,83,106,104,104,106,106,106,106,106,104,81,59,56,42,46,41,87,103,106,106,106,106,105,105,105,105,90,78,20,16,29,29,27,44,39,37,37,17,1502,,
5,Polp,21,19,20,19,18,17,22,20,21,25,23,21,24,22,22,20,27,22,18,18,33,27,43,49,80,75,77,77,73,38,14,18,27,22,21,25,60,79,81,83,81,84,81,83,81,84,88,85,90,90,89,88,85,71,73,67,75,61,55,49,45,46,56,56,57,58,58,90,88,90,89,53,53,46,59,81,90,90,90,90,87,88,87,57,61,50,59,22,22,23,21,25,23,20,20,20,1220,,
6,Upper Kothmale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,72,55,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,75,75,75,60,60,40,66,66,65,50,40,40,40,0,0,0,0,0,0,0,0,336,,
7,Koth,54,42,43,44,39,41,40,37,40,52,52,41,51,49,44,38,65,43,36,32,71,61,66,52,53,36,28,34,26,39,24,36,62,39,40,50,46,45,39,51,43,54,41,55,39,58,34,29,51,52,37,34,26,39,43,32,46,40,53,36,31,31,31,31,31,31,31,31,31,31,31,31,31,37,59,36,53,41,42,45,32,33,38,41,54,28,47,36,45,47,37,61,50,41,39,33,1070,,
8,Vict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,83,81,78,78,41,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,,
9,Rand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,39,39,39,41,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80,80,41,41,41,41,41,41,73,81,81,81,81,42,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,848,,
10,Rant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,19,20,20,19,20,20,20,19,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,39,39,40,40,39,40,40,40,20,20,20,20,20,20,19,0,0,0,0,0,0,0,0,374,,
11,Uku,36,36,36,36,36,21,0,0,0,0,0,0,0,0,0,0,0,3,10,10,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,751,,
12,Bowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,20,0,0,196,,
13,Sam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,29,29,29,29,29,29,29,29,29,59,59,59,59,40,40,40,40,39,29,29,29,39,39,40,60,60,59,39,39,39,39,39,39,39,39,39,39,39,60,59,59,59,59,59,59,59,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,513,,
14,Kukule,53,52,52,52,52,38,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,38,38,25,26,26,26,26,26,38,38,61,60,61,60,61,60,60,60,60,60,60,76,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,52,52,52,52,52,51,53,76,76,76,76,52,52,52,52,38,39,30,27,26,26,0,0,0,0,0,0,0,962.8,,
15,LVPS 1,274,274,274,274,273,274,271,274,273,272,274,271,270,272,274,273,274,272,274,274,273,274,274,274,272,273,273,273,273,273,273,273,274,274,273,272,271,272,273,274,273,271,271,268,270,266,268,272,272,274,272,272,272,273,271,272,271,272,272,273,271,272,272,272,270,272,272,272,272,272,272,271,270,272,271,269,271,272,271,272,272,272,272,272,272,271,272,272,271,272,272,273,272,271,271,274,6534.5,,
16,LVPS 2,270,270,269,269,269,270,270,270,270,270,270,269,270,270,269,269,270,270,270,270,270,269,270,269,270,270,270,270,269,269,270,270,269,269,269,268,269,267,269,269,269,269,267,268,268,270,270,270,268,269,270,269,268,269,268,269,269,269,270,269,269,269,270,269,269,269,269,268,269,270,268,269,270,270,270,269,269,268,269,269,269,268,269,270,269,269,269,269,269,269,269,269,269,270,269,268,6481,,
17,LVPS 3,270,270,270,270,270,271,270,271,270,271,270,271,271,271,270,270,270,271,270,269,271,270,271,270,270,270,269,270,270,266,265,262,267,269,269,270,270,270,269,270,270,270,269,270,270,270,271,268,270,270,270,270,271,271,270,270,270,270,271,270,270,270,270,270,270,270,270,271,270,270,271,270,269,270,271,270,270,270,269,270,270,270,270,270,270,269,270,270,270,270,269,271,271,270,268,270,6493,,
18,Sapu A,33,33,33,33,39,52,54,54,54,34,34,33,34,34,34,34,34,47,54,54,53,54,54,54,54,54,54,54,54,54,55,54,53,54,54,54,54,54,53,54,54,53,54,54,54,54,54,54,46,36,36,13,38,41,44,51,53,53,54,54,54,54,53,53,53,53,53,54,53,54,54,53,53,53,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,54,54,54,1192,,
19,Sapu B,59,59,59,60,60,59,61,61,61,61,62,61,61,61,61,62,62,62,61,61,62,62,61,62,62,62,62,61,61,60,60,60,59,57,57,57,56,54,53,53,53,46,45,46,45,46,45,45,46,46,37,37,42,42,46,45,46,46,47,46,46,53,55,56,56,55,54,54,55,54,55,57,57,56,57,58,58,57,58,59,59,60,60,60,61,61,61,60,61,61,61,62,61,61,61,61,1338,,
20,Uthuru Janani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,20,20,20,20,20,20,21,20,21,20,20,20,20,14,14,14,15,14,15,14,15,15,15,14,14,15,15,15,15,14,14,14,14,15,14,14,14,15,15,15,15,14,14,14,15,14,15,14,14,15,15,15,15,14,20,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,337.5,,
21,Barge,45,45,45,45,45,45,45,45,45,39,39,39,39,39,39,39,39,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,49,52,50,45,45,45,45,45,45,51,54,56,60,60,60,60,60,60,60,60,60,60,60,60,60,1128.4,,
22,KCCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,ACE EMBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,62,78,85,85,85,86,86,85,85,85,85,85,85,85,86,85,85,85,84,85,85,85,85,85,85,84,84,84,83,84,84,84,83,83,83,82,83,82,81,81,81,81,82,79,86,86,86,87,87,89,88,88,88,88,88,89,92,92,92,92,93,91,93,92,92,92,94,92,92,92,92,92,92,92,92,92,92,1776,,
24,ACE Matara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,328.2,,
25,Asia Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,11,13,25,25,33,35,39,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,38,27,21,21,16,9,0,0,732.5,,
26,WCP,140,140,140,140,140,140,139,140,140,140,140,140,140,140,140,140,139,139,140,140,138,137,137,138,138,138,140,140,140,140,138,138,138,138,138,138,139,139,139,138,137,138,137,138,139,138,138,138,138,138,139,139,139,138,139,138,138,138,137,138,138,137,138,137,138,138,138,139,139,139,139,138,139,139,138,140,139,139,139,139,139,139,139,140,139,138,139,139,139,139,139,139,139,139,140,140,3217.2,,
27,Sojitz CCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,80,113,154,155,156,157,156,156,158,157,157,156,156,157,156,157,156,157,157,156,156,157,157,158,157,158,157,157,157,156,157,158,157,156,156,157,156,157,157,158,157,158,157,157,157,156,158,157,157,158,158,158,158,158,158,157,160,152,138,118,98,84,17,0,0,0,0,2316.6,,
28,KPS(GT7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,KPS(GT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,CEB Sup Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,VPOWER Hamb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,VPOWER Palle.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
33,VPOWER Horona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
34,ALTAQQA-Pol.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
35,ALTAQQA-Mahi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,Solar**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,9,10,11,13,13,16,13,14,13,17,19,27,16,19,19,23,17,16,14,13,16,14,24,20,21,17,13,15,14,11,10,8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.4,,
37,Wind **,51,49,49,48,46,48,52,52,53,57,53,58,54,55,54,58,58,57,59,60,61,63,59,58,60,59,60,60,60,64,56,57,63,60,67,64,62,60,61,58,56,61,57,49,54,56,59,57,53,53,47,47,47,42,46,47,47,48,53,52,43,48,44,44,45,38,38,40,41,40,40,46,43,46,45,50,49,53,56,61,62,63,62,55,54,56,56,58,56,55,57,56,58,56,60,61,2332.3,,
38,CEB/IPP Mini Hydro***,65,66,66,65,64,64,68,69,68,69,70,71,72,72,75,72,69,64,63,59,55,50,46,38,38,41,42,44,47,47,45,45,45,44,45,44,36,43,43,33,36,37,43,40,40,42,43,45,43,44,42,42,45,46,46,46,46,46,47,37,39,44,46,46,45,44,43,43,48,47,46,47,119,118,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,58,59,60,62,63,64,65,164.3,,
39,Total MW,1434,1417,1393,1392,1387,1371,1342,1345,1322,1315,1315,1302,1301,1310,1317,1310,1345,1382,1392,1429,1533,1613,1675,1738,1772,1764,1738,1714,1711,1718,1740,1755,1805,1885,1905,1940,1961,1982,2000,2006,1996,2027,2038,2046,2070,2094,2109,2111,2076,2061,2033,1995,2009,2002,2017,1991,2041,2035,2048,2059,2036,2050,2041,2047,2040,2035,2032,2009,1983,1959,1952,1914,2008,2135,2278,2418,2441,2429,2379,2327,2273,2223,2176,2124,2069,2006,1964,1900,1835,1719,1685,1637,1599,1558,1505,1486,43840.8,,
40,Time,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00,Energy/(MWh) *,sum/4,from gensum
41,Coal,814,814,813,813,812,815,811,815,813,813,814,811,811,813,813,812,814,813,814,813,814,813,815,813,812,813,812,813,812,808,808,805,810,812,811,810,810,809,811,813,812,810,807,806,808,806,809,810,810,813,812,811,811,813,809,811,810,811,813,812,810,811,812,811,809,811,811,811,811,812,811,810,809,812,812,808,810,810,809,811,811,810,811,812,811,809,811,811,810,811,810,813,812,811,808,812,19508.5,19468.25,19509
42,Oil- CEB owned,137,137,137,138,144,156,160,160,160,134,135,133,134,134,134,135,135,160,176,180,180,181,180,181,181,182,181,181,180,179,180,179,171,170,170,171,169,168,165,167,167,159,158,159,159,160,159,159,151,141,132,109,136,142,149,155,159,159,161,160,159,166,167,169,168,168,166,167,168,168,169,174,176,179,178,179,178,176,177,178,184,188,190,194,195,195,195,194,195,195,195,195,194,195,195,195,3995.9,3998.25,3996
43,Oil-IPP owned,140,140,140,140,140,140,139,140,140,140,140,140,140,140,140,140,139,139,169,202,218,226,230,234,237,249,250,304,319,344,378,443,446,448,448,447,448,449,449,448,446,447,447,447,448,446,447,446,446,446,448,447,448,446,447,446,445,444,442,444,445,444,441,447,449,448,450,451,454,452,453,451,452,452,451,458,456,456,457,458,456,458,457,458,456,460,451,437,411,380,360,293,271,264,232,232,8370.5,8481.75,8371
44,Major Hydro,225,209,185,186,179,147,112,108,86,102,102,87,91,96,101,92,131,147,111,113,204,279,344,413,444,419,392,311,288,272,270,221,264,344,355,395,425,443,457,475,463,498,512,532,543,566,566,580,555,546,529,522,508,502,507,470,522,503,514,534,523,523,515,515,515,516,516,491,458,438,434,384,408,527,674,801,828,812,760,699,639,583,535,485,433,365,332,278,241,218,204,219,201,168,146,120,9180.8,9150.25,9181
45,Wind,51,49,49,48,46,48,52,52,53,57,53,58,54,55,54,58,58,57,59,60,61,63,59,58,60,59,60,60,60,64,56,57,63,60,67,64,62,60,61,58,56,61,57,49,54,56,59,57,53,53,47,47,47,42,46,47,47,48,53,52,43,48,44,44,45,38,38,40,41,40,40,46,43,46,45,50,49,53,56,61,62,63,62,55,54,56,56,58,56,55,57,56,58,56,60,61,2332.3,1287.25,2332
46,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,9,10,11,13,13,16,13,14,13,17,19,27,16,19,19,23,17,16,14,13,16,14,24,20,21,17,13,15,14,11,10,8,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.4,133.75,288
47,,1432,1415,1390,1390,1385,1370,1342,1344,1320,1315,1314,1300,1302,1310,1317,1309,1346,1380,1392,1427,1532,1612,1674,1737,1772,1763,1737,1714,1707,1715,1739,1753,1802,1883,1904,1940,1960,1983,1999,2007,1996,2025,2038,2046,2069,2095,2110,2113,2077,2062,2033,1995,2011,2005,2017,1991,2043,2035,2050,2060,2036,2049,2040,2046,2042,2035,2032,2009,1984,1960,1954,1913,2008,2134,2279,2416,2441,2427,2379,2327,2272,2222,2175,2124,2069,2005,1965,1898,1833,1717,1685,1636,1598,1557,1505,1485,43840.7,,40848
